country,year,sex,age,suicides_no,population
Argentina,1989,male,35-54 years,462,3561000
Argentina,1989,male,5-14 years,18,3245000
Argentina,1989,male,55-74 years,548,2105000
Argentina,1989,male,75+ years,208,400000
Argentina,1990,female,15-24 years,91,2568000
Argentina,1990,female,25-34 years,76,2251000
Argentina,1990,female,35-54 years,163,3622000
Argentina,1990,female,5-14 years,14,3171000
Argentina,1990,female,55-74 years,190,2477000
Argentina,1990,female,75+ years,61,643000
Argentina,1990,male,15-24 years,174,2635000
Argentina,1990,male,25-34 years,182,2297000
Argentina,1990,male,35-54 years,439,3619000
Argentina,1990,male,5-14 years,22,3269000
Argentina,1990,male,55-74 years,502,2128000
Argentina,1990,male,75+ years,226,411100
Argentina,1991,female,15-24 years,61,2689000
Argentina,1991,female,25-34 years,77,2310000
Argentina,1991,female,35-54 years,133,3691000
Argentina,1991,female,5-14 years,9,3277000
Argentina,1991,female,55-74 years,169,2508000
Argentina,1991,female,75+ years,50,658000
Argentina,1991,male,15-24 years,179,2738000
Argentina,1991,male,25-34 years,214,2277000
Argentina,1991,male,35-54 years,398,3580000
Argentina,1991,male,5-14 years,28,3369000
Argentina,1991,male,55-74 years,449,2130000
Argentina,1991,male,75+ years,184,396000
Argentina,1992,female,15-24 years,79,2783500
Argentina,1992,female,25-34 years,79,2329100
Argentina,1992,female,35-54 years,140,3755500
Argentina,1992,female,5-14 years,13,3276800
Argentina,1992,female,55-74 years,147,2538400
Argentina,1992,female,75+ years,46,678000
Argentina,1992,male,15-24 years,249,2834100
Argentina,1992,male,25-34 years,227,2306200
Argentina,1992,male,35-54 years,488,3616600
Argentina,1992,male,5-14 years,22,3371800
Argentina,1992,male,55-74 years,500,2150500
Argentina,1992,male,75+ years,194,404900
Argentina,1993,female,15-24 years,73,2879300
Argentina,1993,female,25-34 years,76,2347800
Argentina,1993,female,35-54 years,144,3820400
Argentina,1993,female,5-14 years,16,3269800
Argentina,1993,female,55-74 years,126,2568300
Argentina,1993,female,75+ years,58,698400
Argentina,1993,male,15-24 years,235,2932300
Argentina,1993,male,25-34 years,233,2336300
Argentina,1993,male,35-54 years,495,3672300
Argentina,1993,male,5-14 years,25,3367500
Argentina,1993,male,55-74 years,520,2171500
Argentina,1993,male,75+ years,229,413600
Argentina,1994,female,15-24 years,98,2971300
Argentina,1994,female,25-34 years,72,2369900
Argentina,1994,female,35-54 years,160,3885600
Argentina,1994,female,5-14 years,11,3262900
Argentina,1994,female,55-74 years,135,2597400
Argentina,1994,female,75+ years,34,719700
Argentina,1994,male,15-24 years,250,3027200
Argentina,1994,male,25-34 years,226,2369000
Argentina,1994,male,35-54 years,527,3729600
Argentina,1994,male,5-14 years,27,3363000
Argentina,1994,male,55-74 years,509,2192500
Argentina,1994,male,75+ years,192,423100
Argentina,1995,female,15-24 years,101,3053300
Argentina,1995,female,25-34 years,62,2396900
Argentina,1995,female,35-54 years,139,3950100
Argentina,1995,female,5-14 years,19,3261100
Argentina,1995,female,55-74 years,134,2625900
Argentina,1995,female,75+ years,49,742200
Argentina,1995,male,15-24 years,277,3112100
Argentina,1995,male,25-34 years,218,2404900
Argentina,1995,male,35-54 years,485,3787800
Argentina,1995,male,5-14 years,15,3363300
Argentina,1995,male,55-74 years,515,2214000
Argentina,1995,male,75+ years,190,433800
Argentina,1996,female,15-24 years,105,3123600
Argentina,1996,female,25-34 years,52,2428400
Argentina,1996,female,35-54 years,176,4014100
Argentina,1996,female,5-14 years,9,3266800
Argentina,1996,female,55-74 years,131,2653800
Argentina,1996,female,75+ years,59,766100
Argentina,1996,male,15-24 years,280,3185600
Argentina,1996,male,25-34 years,226,2442900
Argentina,1996,male,35-54 years,524,3847300
Argentina,1996,male,5-14 years,14,3370400
Argentina,1996,male,55-74 years,464,2235900
Argentina,1996,male,75+ years,189,445800
Argentina,1997,female,15-24 years,113,3161000
Argentina,1997,female,25-34 years,72,2474330
Argentina,1997,female,35-54 years,165,4083427
Argentina,1997,female,5-14 years,11,3327355
Argentina,1997,female,55-74 years,131,2668528
Argentina,1997,female,75+ years,47,854095
Argentina,1997,male,15-24 years,260,3198193
Argentina,1997,male,25-34 years,213,2460112
Argentina,1997,male,35-54 years,501,3934581
Argentina,1997,male,5-14 years,19,3429860
Argentina,1997,male,55-74 years,457,2252148
Argentina,1997,male,75+ years,195,490152
Argentina,1998,female,15-24 years,114,3200362
Argentina,1998,female,25-34 years,52,2512005
Argentina,1998,female,35-54 years,147,4143203
Argentina,1998,female,5-14 years,20,3353473
Argentina,1998,female,55-74 years,140,2696429
Argentina,1998,female,75+ years,53,883724
Argentina,1998,male,15-24 years,327,3243944
Argentina,1998,male,25-34 years,251,2497189
Argentina,1998,male,35-54 years,508,3990829
Argentina,1998,male,5-14 years,16,3456965
Argentina,1998,male,55-74 years,518,2274972
Argentina,1998,male,75+ years,201,504164
Argentina,1999,female,15-24 years,101,3229424
Argentina,1999,female,25-34 years,50,2559176
Argentina,1999,female,35-54 years,141,4200203
Argentina,1999,female,5-14 years,20,3377543
Argentina,1999,female,55-74 years,137,2727054
Argentina,1999,female,75+ years,44,912898
Argentina,1999,male,15-24 years,355,3279728
Argentina,1999,male,25-34 years,265,2543861
Argentina,1999,male,35-54 years,545,4045105
Argentina,1999,male,5-14 years,21,3482230
Argentina,1999,male,55-74 years,540,2301840
Argentina,1999,male,75+ years,204,515800
Argentina,2000,female,15-24 years,116,3249247
Argentina,2000,female,25-34 years,63,2617723
Argentina,2000,female,35-54 years,174,4253771
Argentina,2000,female,5-14 years,21,3396135
Argentina,2000,female,55-74 years,133,2760512
Argentina,2000,female,75+ years,43,941957
Argentina,2000,male,15-24 years,463,3306109
Argentina,2000,male,25-34 years,331,2602314
Argentina,2000,male,35-54 years,578,4096814
Argentina,2000,male,5-14 years,18,3502413
Argentina,2000,male,55-74 years,602,2333377
Argentina,2000,male,75+ years,232,525161
Argentina,2001,female,15-24 years,166,3262682
Argentina,2001,female,25-34 years,82,2690206
Argentina,2001,female,35-54 years,210,4306817
Argentina,2001,female,5-14 years,24,3411619
Argentina,2001,female,55-74 years,137,2788628
Argentina,2001,female,75+ years,57,978346
Argentina,2001,male,15-24 years,518,3325440
Argentina,2001,male,25-34 years,375,2675285
Argentina,2001,male,35-54 years,625,4145861
Argentina,2001,male,5-14 years,29,3519935
Argentina,2001,male,55-74 years,659,2358654
Argentina,2001,male,75+ years,250,547473
Argentina,2002,female,15-24 years,158,3263542
Argentina,2002,female,25-34 years,91,2772560
Argentina,2002,female,35-54 years,194,4355651
Argentina,2002,female,5-14 years,23,3418842
Argentina,2002,female,55-74 years,179,2819507
Argentina,2002,female,75+ years,58,1012399
Argentina,2002,male,15-24 years,542,3331708
Argentina,2002,male,25-34 years,412,2758283
Argentina,2002,male,35-54 years,619,4191889
Argentina,2002,male,5-14 years,37,3529201
Argentina,2002,male,55-74 years,615,2387478
Argentina,2002,male,75+ years,234,566447
Argentina,2003,female,15-24 years,179,3258029
Argentina,2003,female,25-34 years,69,2859003
Argentina,2003,female,35-54 years,196,4402438
Argentina,2003,female,5-14 years,25,3419258
Argentina,2003,female,55-74 years,147,2854473
Argentina,2003,female,75+ years,68,1044188
Argentina,2003,male,15-24 years,638,3331226
Argentina,2003,male,25-34 years,456,2845955
Argentina,2003,male,35-54 years,625,4237124
Argentina,2003,male,5-14 years,37,3531507
Argentina,2003,male,55-74 years,577,2420864
Argentina,2003,male,75+ years,272,581842
Argentina,2004,female,15-24 years,159,3255244
Argentina,2004,female,25-34 years,99,2940630
Argentina,2004,female,35-54 years,185,4450210
Argentina,2004,female,5-14 years,25,3416244
Argentina,2004,female,55-74 years,136,2895423
Argentina,2004,female,75+ years,50,1073648
Argentina,2004,male,15-24 years,653,3333328
Argentina,2004,male,25-34 years,445,2930079
Argentina,2004,male,35-54 years,599,4284709
Argentina,2004,male,5-14 years,43,3530061
Argentina,2004,male,55-74 years,500,2459960
Argentina,2004,male,75+ years,227,593409
Argentina,2005,female,15-24 years,148,3260468
Argentina,2005,female,25-34 years,104,3011376
Argentina,2005,female,35-54 years,171,4500787
Argentina,2005,female,5-14 years,21,3413809
Argentina,2005,female,55-74 years,161,2943135
Argentina,2005,female,75+ years,59,1101024
Argentina,2005,male,15-24 years,638,3343414
Argentina,2005,male,25-34 years,451,3004991
Argentina,2005,male,35-54 years,539,4336453
Argentina,2005,male,5-14 years,52,3528848
Argentina,2005,male,55-74 years,489,2505136
Argentina,2005,male,75+ years,225,601176
Argentina,2006,female,15-24 years,175,3271703
Argentina,2006,female,25-34 years,105,3070419
Argentina,2006,female,35-54 years,160,4549471
Argentina,2006,female,5-14 years,26,3412126
Argentina,2006,female,55-74 years,115,2983954
Argentina,2006,female,75+ years,31,1132977
Argentina,2006,male,15-24 years,656,3357424
Argentina,2006,male,25-34 years,483,3068991
Argentina,2006,male,35-54 years,585,4383730
Argentina,2006,male,5-14 years,39,3527369
Argentina,2006,male,55-74 years,487,2540712
Argentina,2006,male,75+ years,246,620010
Argentina,2007,female,15-24 years,146,3292790
Argentina,2007,female,25-34 years,126,3120162
Argentina,2007,female,35-54 years,155,4601874
Argentina,2007,female,5-14 years,34,3414627
Argentina,2007,female,55-74 years,108,3033008
Argentina,2007,female,75+ years,31,1161794
Argentina,2007,male,15-24 years,577,3381171
Argentina,2007,male,25-34 years,490,3125322
Argentina,2007,male,35-54 years,571,4436541
Argentina,2007,male,5-14 years,45,3530454
Argentina,2007,male,55-74 years,438,2582754
Argentina,2007,male,75+ years,225,634995
Argentina,2008,female,15-24 years,180,3319037
Argentina,2008,female,25-34 years,94,3159967
Argentina,2008,female,35-54 years,173,4660022
Argentina,2008,female,5-14 years,20,3422263
Argentina,2008,female,55-74 years,108,3088727
Argentina,2008,female,75+ years,36,1188016
Argentina,2008,male,15-24 years,625,3410092
Argentina,2008,male,25-34 years,531,3172743
Argentina,2008,male,35-54 years,582,4496672
Argentina,2008,male,5-14 years,39,3539110
Argentina,2008,male,55-74 years,463,2630686
Argentina,2008,male,75+ years,208,646185
Argentina,2009,female,15-24 years,164,3342385
Argentina,2009,female,25-34 years,105,3189773
Argentina,2009,female,35-54 years,150,4726814
Argentina,2009,female,5-14 years,28,3434884
Argentina,2009,female,55-74 years,112,3148915
Argentina,2009,female,75+ years,25,1211934
Argentina,2009,male,15-24 years,609,3436265
Argentina,2009,male,25-34 years,504,3210244
Argentina,2009,male,35-54 years,542,4566645
Argentina,2009,male,5-14 years,34,3553154
Argentina,2009,male,55-74 years,434,2683502
Argentina,2009,male,75+ years,177,653486
Argentina,2010,female,15-24 years,150,3358103
Argentina,2010,female,25-34 years,101,3210247
Argentina,2010,female,35-54 years,162,4804030
Argentina,2010,female,5-14 years,20,3450419
Argentina,2010,female,55-74 years,99,3212253
Argentina,2010,female,75+ years,34,1234182
Argentina,2010,male,15-24 years,683,3455127
Argentina,2010,male,25-34 years,485,3237957
Argentina,2010,male,35-54 years,573,4648068
Argentina,2010,male,5-14 years,33,3570316
Argentina,2010,male,55-74 years,397,2740656
Argentina,2010,male,75+ years,206,657096
Argentina,2011,female,15-24 years,172,3372659
Argentina,2011,female,25-34 years,102,3224774
Argentina,2011,female,35-54 years,157,4893085
Argentina,2011,female,5-14 years,29,3472180
Argentina,2011,female,55-74 years,93,3268753
Argentina,2011,female,75+ years,30,1260121
Argentina,2011,male,15-24 years,693,3471151
Argentina,2011,male,25-34 years,510,3258804
Argentina,2011,male,35-54 years,504,4738525
Argentina,2011,male,5-14 years,28,3592374
Argentina,2011,male,55-74 years,416,2788575
Argentina,2011,male,75+ years,178,674738
Argentina,2012,female,15-24 years,204,3380770
Argentina,2012,female,25-34 years,102,3228400
Argentina,2012,female,35-54 years,164,4993138
Argentina,2012,female,5-14 years,17,3494571
Argentina,2012,female,55-74 years,108,3328463
Argentina,2012,female,75+ years,33,1282726
Argentina,2012,male,15-24 years,745,3480902
Argentina,2012,male,25-34 years,616,3268154
Argentina,2012,male,35-54 years,554,4841057
Argentina,2012,male,5-14 years,29,3615254
Argentina,2012,male,55-74 years,451,2839783
Argentina,2012,male,75+ years,225,688560
Argentina,2013,female,15-24 years,167,3384642
Argentina,2013,female,25-34 years,102,3226464
Argentina,2013,female,35-54 years,157,5099167
Argentina,2013,female,5-14 years,32,3515742
Argentina,2013,female,55-74 years,102,3390673
Argentina,2013,female,75+ years,29,1303352
Argentina,2013,male,15-24 years,696,3486661
Argentina,2013,male,25-34 years,499,3271373
Argentina,2013,male,35-54 years,604,4950850
Argentina,2013,male,5-14 years,33,3637026
Argentina,2013,male,55-74 years,398,2894129
