country,year,sex,age,suicides_no,population
Brazil,1989,male,35-54 years,1067,13704169
Brazil,1989,male,5-14 years,28,17445679
Brazil,1989,male,55-74 years,543,5415199
Brazil,1989,male,75+ years,141,686864
Brazil,1990,female,15-24 years,304,14548740
Brazil,1990,female,25-34 years,250,12392001
Brazil,1990,female,35-54 years,394,14711203
Brazil,1990,female,5-14 years,32,17265236
Brazil,1990,female,55-74 years,196,6431086
Brazil,1990,female,75+ years,38,1117615
Brazil,1990,male,15-24 years,731,14568361
Brazil,1990,male,25-34 years,945,12198761
Brazil,1990,male,35-54 years,1127,14165486
Brazil,1990,male,5-14 years,34,17729894
Brazil,1990,male,55-74 years,601,5570146
Brazil,1990,male,75+ years,151,689024
Brazil,1991,female,15-24 years,303,14737389
Brazil,1991,female,25-34 years,266,12700804
Brazil,1991,female,35-54 years,331,15218376
Brazil,1991,female,5-14 years,35,17496257
Brazil,1991,female,55-74 years,222,6630160
Brazil,1991,female,75+ years,38,1172662
Brazil,1991,male,15-24 years,771,14774615
Brazil,1991,male,25-34 years,1002,12481850
Brazil,1991,male,35-54 years,1334,14626951
Brazil,1991,male,5-14 years,41,17989977
Brazil,1991,male,55-74 years,660,5727704
Brazil,1991,male,75+ years,153,725105
Brazil,1992,female,15-24 years,283,14937179
Brazil,1992,female,25-34 years,262,12985784
Brazil,1992,female,35-54 years,391,15718299
Brazil,1992,female,5-14 years,36,17651310
Brazil,1992,female,55-74 years,166,6848963
Brazil,1992,female,75+ years,36,1221291
Brazil,1992,male,15-24 years,816,14998739
Brazil,1992,male,25-34 years,981,12740352
Brazil,1992,male,35-54 years,1408,15081747
Brazil,1992,male,5-14 years,39,18169763
Brazil,1992,male,55-74 years,643,5899574
Brazil,1992,male,75+ years,146,754020
Brazil,1993,female,15-24 years,334,15156899
Brazil,1993,female,25-34 years,261,13246132
Brazil,1993,female,35-54 years,346,16228348
Brazil,1993,female,5-14 years,31,17732843
Brazil,1993,female,55-74 years,182,7082827
Brazil,1993,female,75+ years,33,1265590
Brazil,1993,male,15-24 years,917,15249319
Brazil,1993,male,25-34 years,1183,12975409
Brazil,1993,male,35-54 years,1374,15546851
Brazil,1993,male,5-14 years,51,18272195
Brazil,1993,male,55-74 years,628,6082548
Brazil,1993,male,75+ years,168,776516
Brazil,1994,female,15-24 years,372,15405279
Brazil,1994,female,25-34 years,291,13479427
Brazil,1994,female,35-54 years,369,16774482
Brazil,1994,female,5-14 years,46,17753766
Brazil,1994,female,55-74 years,174,7323575
Brazil,1994,female,75+ years,39,1307893
Brazil,1994,male,15-24 years,988,15533989
Brazil,1994,male,25-34 years,1228,13187454
Brazil,1994,male,35-54 years,1436,16047095
Brazil,1994,male,5-14 years,48,18311628
Brazil,1994,male,55-74 years,725,6270191
Brazil,1994,male,75+ years,180,793671
Brazil,1995,female,15-24 years,347,15683286
Brazil,1995,female,25-34 years,318,13683822
Brazil,1995,female,35-54 years,450,17368864
Brazil,1995,female,5-14 years,36,17734168
Brazil,1995,female,55-74 years,208,7566176
Brazil,1995,female,75+ years,42,1349701
Brazil,1995,male,15-24 years,1084,15852481
Brazil,1995,male,25-34 years,1318,13377021
Brazil,1995,male,35-54 years,1703,16593682
Brazil,1995,male,5-14 years,38,18309246
Brazil,1995,male,55-74 years,812,6459129
Brazil,1995,male,75+ years,180,806015
Brazil,1996,female,15-24 years,347,15978838
Brazil,1996,female,25-34 years,299,13851001
Brazil,1996,female,35-54 years,448,17981388
Brazil,1996,female,5-14 years,50,17684630
Brazil,1996,female,55-74 years,202,7790591
Brazil,1996,female,75+ years,52,1426991
Brazil,1996,male,15-24 years,1164,16172705
Brazil,1996,male,25-34 years,1265,13533249
Brazil,1996,male,35-54 years,1827,17150145
Brazil,1996,male,5-14 years,70,18270623
Brazil,1996,male,55-74 years,798,6651122
Brazil,1996,male,75+ years,176,861847
Brazil,1997,female,15-24 years,327,16301577
Brazil,1997,female,25-34 years,282,13987171
Brazil,1997,female,35-54 years,507,18634217
Brazil,1997,female,5-14 years,55,17600190
Brazil,1997,female,55-74 years,202,8017560
Brazil,1997,female,75+ years,44,1503183
Brazil,1997,male,15-24 years,1102,16523208
Brazil,1997,male,25-34 years,1349,13664422
Brazil,1997,male,35-54 years,1856,17744763
Brazil,1997,male,5-14 years,53,18197954
Brazil,1997,male,55-74 years,895,6842729
Brazil,1997,male,75+ years,219,915653
Brazil,1998,female,15-24 years,364,16629063
Brazil,1998,female,25-34 years,324,14109075
Brazil,1998,female,35-54 years,458,19311067
Brazil,1998,female,5-14 years,47,17496449
Brazil,1998,female,55-74 years,197,8252694
Brazil,1998,female,75+ years,55,1580747
Brazil,1998,male,15-24 years,1089,16881408
Brazil,1998,male,25-34 years,1288,13787276
Brazil,1998,male,35-54 years,1902,18361729
Brazil,1998,male,5-14 years,50,18105835
Brazil,1998,male,55-74 years,931,7040369
Brazil,1998,male,75+ years,217,968599
Brazil,1999,female,15-24 years,281,16927682
Brazil,1999,female,25-34 years,259,14242229
Brazil,1999,female,35-54 years,426,19987055
Brazil,1999,female,5-14 years,37,17392648
Brazil,1999,female,55-74 years,188,8504649
Brazil,1999,female,75+ years,35,1662705
Brazil,1999,male,15-24 years,1103,17212692
Brazil,1999,male,25-34 years,1199,13927042
Brazil,1999,male,35-54 years,1897,18977263
Brazil,1999,male,5-14 years,50,18012783
Brazil,1999,male,55-74 years,818,7252947
Brazil,1999,male,75+ years,214,1022378
Brazil,2000,female,15-24 years,345,17175577
Brazil,2000,female,25-34 years,271,14403448
Brazil,2000,female,35-54 years,456,20645897
Brazil,2000,female,5-14 years,43,17298023
Brazil,2000,female,55-74 years,220,8779652
Brazil,2000,female,75+ years,45,1750820
Brazil,2000,male,15-24 years,1037,17494250
Brazil,2000,male,25-34 years,1200,14100257
Brazil,2000,male,35-54 years,1989,19576126
Brazil,2000,male,5-14 years,42,17927425
Brazil,2000,male,55-74 years,900,7486883
Brazil,2000,male,75+ years,215,1077633
Brazil,2001,female,15-24 years,393,17361833
Brazil,2001,female,25-34 years,286,14578443
Brazil,2001,female,35-54 years,578,21260886
Brazil,2001,female,5-14 years,53,17212816
Brazil,2001,female,55-74 years,206,9044684
Brazil,2001,female,75+ years,41,1866958
Brazil,2001,male,15-24 years,1262,17698960
Brazil,2001,male,25-34 years,1398,14294493
Brazil,2001,male,35-54 years,2227,20128463
Brazil,2001,male,5-14 years,58,17846905
Brazil,2001,male,55-74 years,964,7721938
Brazil,2001,male,75+ years,244,1162417
Brazil,2002,female,15-24 years,411,17507998
Brazil,2002,female,25-34 years,334,14784790
Brazil,2002,female,35-54 years,607,21872177
Brazil,2002,female,5-14 years,55,17166101
Brazil,2002,female,55-74 years,225,9337808
Brazil,2002,female,75+ years,62,1988353
Brazil,2002,male,15-24 years,1226,17863758
Brazil,2002,male,25-34 years,1388,14524576
Brazil,2002,male,35-54 years,2178,20679204
Brazil,2002,male,5-14 years,55,17806637
Brazil,2002,male,55-74 years,937,7980513
Brazil,2002,male,75+ years,219,1249499
Brazil,2003,female,15-24 years,413,17607810
Brazil,2003,female,25-34 years,325,15019057
Brazil,2003,female,35-54 years,559,22469397
Brazil,2003,female,5-14 years,45,17147509
Brazil,2003,female,55-74 years,212,9660156
Brazil,2003,female,75+ years,51,2111283
Brazil,2003,male,15-24 years,1259,17983317
Brazil,2003,male,25-34 years,1394,14785559
Brazil,2003,male,35-54 years,2299,21219095
Brazil,2003,male,5-14 years,60,17794355
Brazil,2003,male,55-74 years,1002,8263894
Brazil,2003,male,75+ years,220,1335479
Brazil,2004,female,15-24 years,403,17657631
Brazil,2004,female,25-34 years,347,15276057
Brazil,2004,female,35-54 years,606,23041317
Brazil,2004,female,5-14 years,59,17135875
Brazil,2004,female,55-74 years,237,10012930
Brazil,2004,female,75+ years,51,2230220
Brazil,2004,male,15-24 years,1275,18054195
Brazil,2004,male,25-34 years,1475,15070514
Brazil,2004,male,35-54 years,2230,21738104
Brazil,2004,male,5-14 years,48,17787328
Brazil,2004,male,55-74 years,994,8573117
Brazil,2004,male,75+ years,270,1415780
Brazil,2005,female,15-24 years,405,17659079
Brazil,2005,female,25-34 years,369,15551589
Brazil,2005,female,35-54 years,664,23583263
Brazil,2005,female,5-14 years,54,17107519
Brazil,2005,female,55-74 years,259,10396739
Brazil,2005,female,75+ years,53,2343149
Brazil,2005,male,15-24 years,1247,18077858
Brazil,2005,male,25-34 years,1464,15374079
Brazil,2005,male,35-54 years,2490,22232378
Brazil,2005,male,5-14 years,52,17760955
Brazil,2005,male,55-74 years,1175,8908847
Brazil,2005,male,75+ years,297,1488505
Brazil,2006,female,15-24 years,387,17631557
Brazil,2006,female,25-34 years,333,15862415
Brazil,2006,female,35-54 years,708,24105759
Brazil,2006,female,5-14 years,61,17077355
Brazil,2006,female,55-74 years,265,10786642
